,0
t0.7_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.7_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.7_IoU_mean,0.9996202425957976
t0.7_IoU_sem,0.00010495029464189204
t0.7_IoU_95pcntCI_2-5pcnt,0.9994102375413993
t0.7_IoU_95pcntCI_97-5pcnt,0.9998302476501959
t0.7_Jaccard_mean,0.9911830600795078
t0.7_Jaccard_sem,0.0032551263755358707
t0.7_Jaccard_95pcntCI_2-5pcnt,0.9846695672503529
t0.7_Jaccard_95pcntCI_97-5pcnt,0.9976965529086628
t0.7_pixel_identity_mean,0.9964119349978098
t0.7_pixel_identity_sem,0.0005506441487116809
t0.7_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.7_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.7_localization_error_mean,0.0008515975605202402
t0.7_localization_error_sem,0.0004187040036005002
t0.7_localization_error_95pcntCI_2-5pcnt,1.3772784964062178e-05
t0.7_localization_error_95pcntCI_97-5pcnt,0.0016894223360764183
t0.7_per_image_average_precision_mean,0.9911830600795078
t0.7_per_image_average_precision_sem,0.0032551263755358707
t0.7_per_image_average_precision_95pcntCI_2-5pcnt,0.9846695672503529
t0.7_per_image_average_precision_95pcntCI_97-5pcnt,0.9976965529086628
t0.75_true_positives_mean,42.53333333333333
t0.75_true_positives_sem,3.3918701961447897
t0.75_true_positives_95pcntCI_2-5pcnt,35.746216751300004
t0.75_true_positives_95pcntCI_97-5pcnt,49.32044991536666
t0.75_false_positives_mean,0.2833333333333333
t0.75_false_positives_sem,0.10385688399932362
t0.75_false_positives_95pcntCI_2-5pcnt,0.07551618857605455
t0.75_false_positives_95pcntCI_97-5pcnt,0.4911504780906121
t0.75_false_negatives_mean,0.15
t0.75_false_negatives_sem,0.07820370329491788
t0.75_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.75_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.75_IoU_mean,0.9996202425957976
t0.75_IoU_sem,0.00010495029464189204
t0.75_IoU_95pcntCI_2-5pcnt,0.9994102375413993
t0.75_IoU_95pcntCI_97-5pcnt,0.9998302476501959
t0.75_Jaccard_mean,0.9911830600795078
t0.75_Jaccard_sem,0.0032551263755358707
t0.75_Jaccard_95pcntCI_2-5pcnt,0.9846695672503529
t0.75_Jaccard_95pcntCI_97-5pcnt,0.9976965529086628
t0.75_pixel_identity_mean,0.9964119349978098
t0.75_pixel_identity_sem,0.0005506441487116809
t0.75_pixel_identity_95pcntCI_2-5pcnt,0.995310098601839
t0.75_pixel_identity_95pcntCI_97-5pcnt,0.9975137713937805
t0.75_localization_error_mean,0.0008515975605202402
t0.75_localization_error_sem,0.0004187040036005002
t0.75_localization_error_95pcntCI_2-5pcnt,1.3772784964062178e-05
t0.75_localization_error_95pcntCI_97-5pcnt,0.0016894223360764183
t0.75_per_image_average_precision_mean,0.9911830600795078
t0.75_per_image_average_precision_sem,0.0032551263755358707
t0.75_per_image_average_precision_95pcntCI_2-5pcnt,0.9846695672503529
t0.75_per_image_average_precision_95pcntCI_97-5pcnt,0.9976965529086628
t0.8_true_positives_mean,42.516666666666666
t0.8_true_positives_sem,3.387372001598408
t0.8_true_positives_95pcntCI_2-5pcnt,35.73855095112571
t0.8_true_positives_95pcntCI_97-5pcnt,49.29478238220762
t0.8_false_positives_mean,0.3
t0.8_false_positives_sem,0.11717001988274149
t0.8_false_positives_95pcntCI_2-5pcnt,0.0655433318859874
t0.8_false_positives_95pcntCI_97-5pcnt,0.5344566681140126
t0.8_false_negatives_mean,0.15
t0.8_false_negatives_sem,0.07820370329491788
t0.8_false_negatives_95pcntCI_2-5pcnt,-0.006485248761180562
t0.8_false_negatives_95pcntCI_97-5pcnt,0.30648524876118055
t0.8_IoU_mean,0.9996595416885838
t0.8_IoU_sem,8.482172437514653e-05
t0.8_IoU_95pcntCI_2-5pcnt,0.9994898138102359
t0.8_IoU_95pcntCI_97-5pcnt,0.9998292695669317
t0.8_Jaccard_mean,0.9910196613866974
t0.8_Jaccard_sem,0.0032932092202444295
